"player_name"
"Josh Allen"
"Kyle Allen"
"Tom Brady"
"Teddy Bridgewater"
"Jacoby Brissett"
"Joe Burrow"
"Derek Carr"
"Kirk Cousins"
"Andy Dalton"
"Sam Darnold"
"Ryan Fitzpatrick"
"Joe Flacco"
"Nick Foles"
"Blaine Gabbert"
"Jimmy Garoppolo"
"Mike Glennon"
"Jared Goff"
"Taylor Heinicke"
"Chad Henne"
"Justin Herbert"
"Brian Hoyer"
"Jalen Hurts"
"Lamar Jackson"
"Daniel Jones"
"Case Keenum"
"Drew Lock"
"Patrick Mahomes"
"Marcus Mariota"
"Baker Mayfield"
"Colt McCoy"
"Gardner Minshew II"
"Nick Mullens"
"Kyler Murray"
"Cam Newton"
"Dak Prescott"
"Aaron Rodgers"
"Ben Roethlisberger"
"Josh Rosen"
"Matt Ryan"
"Trevor Siemian"
"Geno Smith"
"Matthew Stafford"
"Tua Tagovailoa"
"Ryan Tannehill"
"Tyrod Taylor"
"Mitchell Trubisky"
"Carson Wentz"
"Russell Wilson"
"Jameis Winston"
